"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 07 23:46:10 IST 2023","Sat Jan 07 23:46:11 IST 2023","1055","","sauce demo second user flow","","","","locked out user validation",""
"passed","Sat Jan 07 23:46:30 IST 2023","Sat Jan 07 23:46:31 IST 2023","1341","","sauce demo","","","","validating performance glitch userflow",""
"failed","Sat Jan 07 23:45:49 IST 2023","Sat Jan 07 23:45:53 IST 2023","4566","","Example to demonstrate file download in cypress","","","","File Download using cypress-downloadfile npm package",""
"passed","Sat Jan 07 23:46:38 IST 2023","Sat Jan 07 23:46:39 IST 2023","1240","","social media links and dropdown validation","","","","validating drop down of inventory page",""
"failed","Sat Jan 07 23:45:57 IST 2023","Sat Jan 07 23:45:58 IST 2023","180","","sample test","","","","does not match",""
"passed","Sat Jan 07 23:46:50 IST 2023","Sat Jan 07 23:46:50 IST 2023","326","","handling of Shadow Dom in Cypress","","","","Input a text in the input box and after search validate the URL with includeShadowDom option",""
"passed","Sat Jan 07 23:46:37 IST 2023","Sat Jan 07 23:46:38 IST 2023","1036","","social media links and dropdown validation","","","","validating footer text and links",""
"passed","Sat Jan 07 23:47:01 IST 2023","Sat Jan 07 23:47:02 IST 2023","601","","testing of iframes in Cypress","","","","Input text in the text editor which is inside an iframe",""
"passed","Sat Jan 07 23:47:12 IST 2023","Sat Jan 07 23:47:14 IST 2023","1965","","demonstrate file upload in cypress","","","","File Upload",""
"passed","Sat Jan 07 23:46:17 IST 2023","Sat Jan 07 23:46:19 IST 2023","1647","","sauce demo","","","","problem user - ordering validation",""
"passed","Sat Jan 07 23:46:04 IST 2023","Sat Jan 07 23:46:05 IST 2023","1363","","sauce demo","","","","standard_user ordering",""
